Co./Last Name	Card ID	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	           - City	           - State	           - Postcode	           - Country	Identifiers
Templestowe Vet	9850 5046	288 Manningham Road				Templestowe	Vic	3106	Australia	AKUY
Test Card 1234567890123456789012345678901234567890	9455 2277	119 McEwan Road1234567890123	1.23457E+27			West Heidelberg	Vic	3081	Australia	ANSX
The Cat Clinic	9533 8955	1 Miller Street				Prahran	Vic	3181	Australia	AKTZ
The Cat Corner	9762 5449	279 Boronia Road				Boronia	Vic	3155	Australia	AJTZ
The CatDog Deli	9859 1791	66C Doncaster Road				Balwyn North	Vic	3104	Australia	AJTY
The Dog House	07 4031 7544	59 Anderson Street				Manunda	QLD	4870	Australia	CJUW
The Dog Shop	9478 6364	11/800 Plenty Road				Reservoir	Vic	3073	Australia	ANTY
The Itty Bitty Pet Shop	9585 8455	257 Charman Road				Cheltenham	Vic	3192	Australia	AJTZ
The Meadows Produce & Pet Supplies	9761 4506	6/161 Canterbury Road				Kilsyth	Vic	3137	Australia	ALUY
The Pet Shed	9330 3766	8-10 Victory Road				Airport West	Vic	3042	Australia	AJSY
The Pines Pet Centre	9842 4577	"Pines Shopping Centre, Shop 69"	Cnr Blackburn & Reynolds Rd			East Doncaster	Vic	3109	Australia	AJUY
The Village Vet / Turbo Direct Pty Ltd	9827 7500	397 Toorak Road				South Yarra	Vic	3141	Australia	AKTZ
The Yuppy Puppy Grooming Salon	9888 4993	83 Canterbury Road				Canterbury	Vic	3126	Australia	AOUY
Thinking Pet Care	5339 3986	80a Learmonth Road				Wendouree	Vic	3355	Australia	AJTY
Thrift Park Pet Centre	9583 2472	Shop 25	16 Lower Dandenong Road			Mentone	Vic	3194	Australia	AJUZ
Top of the Town Pet Supplies	9736 1677	19 York Road				Mt Evelyn	Vic	3797	Australia	AJTY
Totally Tracey	0414 497 201	95 Wyadra Avenue				North Manly	NSW	2100	Australia	BOUW
Tunstall Pets & Produce	9842 3027	43 Tunstall Square				Doncaster East	Vic	3109	Australia	AJUY
Ultimate Dog Care	9460 2955	25 Thrower Street				Preston	Vic	3072	Australia	AJUY
Unique Pets & Pales 4 Scales	5339 3887	1013 Howitt Street				Wendouree	Vic	3355	Australia	AJUY
Upmarket Pets	9600 9120	440 Queen Street				Melbourne	Vic	3000	Australia	AJSY
Valley Pets	5174 9947	101 Seymour Street				Traralgon	Vic	3844	Australia	AJTW
Van De Pol Stockfeeds Australia Pty Ltd	9374 2277	DFO Extension	Cnr Bulla Rd & Tullamarine Fwy	Essendon Airport		Essendon North	Vic	3041	Australia	ALSY
VI Pet Supplies	9899-7055	197A Middleborough Road				Box Hill South	Vic	3128	Australia	AJUY
Victorian Animal Aid Trust -  H/Q	9739 0300	35 Killara Road				Coldstream	Vic	3770	Australia	AJSY
Victorian Obedience Dog Club Inc	9569 8195	17 Rotherwood Drive				Malvern East	Vic	3148	Australia	ANUZ
W.T. Murphy Bros	9882 2295	592 Burwood Road Cnr Auburn Road				Hawthorn	Vic	3122	Australia	AJSZ
Wandin Veterinary Clinic	5964 4500	367 Warburton Highway				Wandin North	Vic	3139	Australia	AKTY
Warrandyte Vet Clinic	9844 3071	Lwr Cnr Melbourne Hill	& Houghton Roads			Warrandyte	Vic	3133	Australia	AKUY
Warranwood Vet	9879 0900	1 Colman Road				Warranwood	Vic	3134	Australia	AKUY
Warringal Veterinary Hospital	9459 9590	105 Cape Street				Heidelberg	Vic	3084	Australia	AKTY
Watsonia Pets & Supplies	9432 4979	81 Watsonia Road				Watsonia	Vic	3087	Australia	AJTY
Watsonia Vet Centre	9432 7207	127 Watsonia Road				Watsonia	Vic	3087	Australia	AKTY
Welcombe Boading Kennels	9436 2240	605 Yan Yean Road				Yarrambat	Vic	3091	Australia	AMUY
West Coast Embroidery	5256 3833	23 Blue Waters Drive				Ocean Grove	Vic	3226	Australia	ANTW
West Coast Pet Care Centre	08 9306 2767	49 Adams Road				Mariginiup	WA	6065	Australia	FJUW
West Doncaster Veterinary Clinic	9848 4111	480 Doncaster Road				Doncaster	Vic	3108	Australia	AKTY
West Footscray Vet Clinic	9687 4542	689 Barkly Street				West Footscray	Vic	3012	Australia	AKUY
West River Pet Supplies	9741 6147	64 Watton Street				Werribee	Vic	3030	Australia	AJUY
Westernport Pet Supplies	5979 4232	Shop 3 & 4	110 High Street			Hastings	Vic	3915	Australia	AJSZ
Whitford City Pet Shop	08 9401 5551	Shop 2 Whitford City Shopping Centre				Hillarys	WA	6025	Australia	FJUW
Whoopsy's Pty Ltd	9531 6060	18 Ormond Road				Elwood	Vic	3184	Australia	AJSZ
Wildlife in Secure Enviroment Inc	9882 1900	15 Hastings Road				Hawthorn East	Vic	3123	Australia	ANUW
Williamstown Veterinary Hospital	9397 8002	137 Railway Place				Williamstown	Vic	3016	Australia	AKTY
Wonthaggi Feed Barn	5672 5600	329 White Road				Wonthaggi	Vic	3995	Australia	ALUW
Woodgrove Pet Centre	9743 0533	Shop T42 Woodgrove S/C	High Street			Melton	Vic	3337	Australia	AJUY
Woodside Boarding Cattery	08 8389 7499	5 Verco Road				Woodside	SA	5244	Australia	AMUW
Woori Yallock Pet & Produce	5964 6181	1598 Warburton Highway				Woori Yallock	Vic	3139	Australia	ALTY
Wunder Mutt Pets	5427 3603	"Shop 6, 130 High Street"				Woodend	Vic	3442	Australia	AJUW
Yarrambat Vet	9436 1699	54 Yan Yean Road				Yarrambat	Vic	3091	Australia	AKUY
Yarraville Veterinary Clinic	9314 8945	291 Williamstown Road				Yarraville	Vic	3013	Australia	AKTY
Yarraville Village Vet	9689 8100	110 Stephen Street				Yarraville	Vic	3013	Australia	AKTY
Your Local Pet Store	9532 9392	432 Glenhuntly Road				Elsternwick	Vic	3185	Australia	AJUZ
Your Pet Grooming Service	9754 3956	Shop 25 Main Street				Upwey	Vic	3158	Australia	AOTZ
Zac's on Sorrento	5984 5158	170 Ocean Beach Road				Sorrento	Vic	3943	Australia	AJTZ
Zacs Pet Supplies	9486 8445	362 Queens Parade				Clifton Hill	Vic	3068	Australia	AJSY
Zoo Products Brighton	9593 1205	Shop 2 52 Church Street				Brighton	Vic	3186	Australia	AJTZ
Zoo Products Head Office	9564 7699a	Shop 2 52 Church Street				Brighton	Vic	3186	Australia	ANTZ
Zoo Products Malvern	9509 7943	205 Glenferrie Road				Malvern	Vic	3144	Australia	AJTZ
